istaigos_kodas;gydytojo_ID;data_nuo;data_iki;iraso_sukurimo_data
124244035;121232;2019-04-08;2019-04-12;2019-04-01 02:59
124244035;16365;2019-04-08;2019-04-12;2019-04-01 02:59
124244035;18268;2019-04-05;2019-04-05;2019-04-01 02:59
124244035;18268;2019-04-11;2019-04-11;2019-04-01 02:59
124244035;18268;2019-04-18;2019-04-26;2019-04-01 02:59
124244035;23027;2019-04-08;2019-04-12;2019-04-01 02:59
124244035;24423;2019-04-05;2019-04-05;2019-04-01 02:59
124244035;24423;2019-04-19;2019-04-19;2019-04-01 02:59
124244035;24608;2019-04-03;2019-04-03;2019-04-01 02:59
124244035;25347;2019-04-11;2019-04-11;2019-04-01 02:59
124244035;25777;2019-04-05;2019-04-05;2019-04-01 02:59
124244035;26268;2019-04-19;2019-04-19;2019-04-01 02:59
124244035;26311;2019-04-05;2019-04-05;2019-04-01 02:59
124244035;26537;2019-04-12;2019-04-12;2019-04-01 02:59
124244035;30814;2019-04-05;2019-04-05;2019-04-01 02:59
124244035;30814;2019-04-09;2019-04-15;2019-04-01 02:59
124244035;31286;2019-04-17;2019-04-22;2019-04-01 02:59
124244035;31553;2019-04-11;2019-04-11;2019-04-01 02:59
124244035;31559;2019-04-05;2019-04-08;2019-04-01 02:59
124244035;31921;2018-10-22;2020-10-22;2019-04-01 02:59
124244035;32252;2019-04-15;2019-04-19;2019-04-01 02:59
124244035;361;2019-04-17;2019-04-22;2019-04-01 02:59
124244035;8466;2019-04-11;2019-04-11;2019-04-01 02:59
