istaigos_kodas;gydytojo_ID;laisvos_registracijos_data;iraso_sukurimo_data
124244035;8494;2019-03-29 07:45;2019-03-25 02:59
124244035;8494;2019-03-29 08:00;2019-03-25 02:59
124244035;8494;2019-03-29 08:15;2019-03-25 02:59
124244035;8494;2019-03-29 08:30;2019-03-25 02:59
124244035;8494;2019-03-29 08:45;2019-03-25 02:59
124244035;8494;2019-04-01 07:00;2019-03-25 02:59
124244035;8494;2019-04-01 07:15;2019-03-25 02:59
124244035;8494;2019-04-01 07:45;2019-03-25 02:59
124244035;8494;2019-04-01 08:00;2019-03-25 02:59
124244035;8494;2019-04-01 08:15;2019-03-25 02:59
124244035;8494;2019-04-01 08:30;2019-03-25 02:59
124244035;8494;2019-04-01 08:45;2019-03-25 02:59
124244035;8494;2019-04-01 09:00;2019-03-25 02:59
124244035;8494;2019-04-01 09:15;2019-03-25 02:59
124244035;8494;2019-04-01 11:45;2019-03-25 02:59
124244035;8494;2019-04-01 12:00;2019-03-25 02:59
124244035;8494;2019-04-02 14:00;2019-03-25 02:59
124244035;8494;2019-04-02 14:15;2019-03-25 02:59
124244035;8494;2019-04-02 14:30;2019-03-25 02:59
124244035;8494;2019-04-02 14:45;2019-03-25 02:59
124244035;8494;2019-04-02 16:15;2019-03-25 02:59
124244035;8494;2019-04-02 16:30;2019-03-25 02:59
124244035;8494;2019-04-02 16:45;2019-03-25 02:59
124244035;8494;2019-04-02 17:00;2019-03-25 02:59
124244035;8494;2019-04-02 17:15;2019-03-25 02:59
124244035;8494;2019-04-02 17:30;2019-03-25 02:59
124244035;8494;2019-04-02 17:45;2019-03-25 02:59
124244035;8494;2019-04-02 18:00;2019-03-25 02:59
124244035;8494;2019-04-02 18:15;2019-03-25 02:59
124244035;8494;2019-04-03 07:00;2019-03-25 02:59
124244035;8494;2019-04-03 07:15;2019-03-25 02:59
124244035;8494;2019-04-03 07:30;2019-03-25 02:59
124244035;8494;2019-04-03 07:45;2019-03-25 02:59
124244035;8494;2019-04-03 08:00;2019-03-25 02:59
124244035;8494;2019-04-03 08:15;2019-03-25 02:59
124244035;8494;2019-04-03 08:30;2019-03-25 02:59
124244035;8494;2019-04-03 08:45;2019-03-25 02:59
124244035;8494;2019-04-03 09:15;2019-03-25 02:59
124244035;8494;2019-04-03 10:45;2019-03-25 02:59
124244035;8494;2019-04-03 11:00;2019-03-25 02:59
124244035;8494;2019-04-03 11:15;2019-03-25 02:59
124244035;8494;2019-04-03 11:30;2019-03-25 02:59
124244035;8494;2019-04-03 11:45;2019-03-25 02:59
124244035;8494;2019-04-03 12:00;2019-03-25 02:59
124244035;8494;2019-04-04 13:45;2019-03-25 02:59
124244035;8494;2019-04-04 14:00;2019-03-25 02:59
124244035;8494;2019-04-04 14:15;2019-03-25 02:59
124244035;8494;2019-04-04 14:30;2019-03-25 02:59
124244035;8494;2019-04-04 14:45;2019-03-25 02:59
124244035;8494;2019-04-04 16:15;2019-03-25 02:59
124244035;8494;2019-04-04 16:30;2019-03-25 02:59
124244035;8494;2019-04-04 16:45;2019-03-25 02:59
124244035;8494;2019-04-04 17:00;2019-03-25 02:59
