Įstaigos_kodas;Gydytojo_ID;Data_nuo;Data_iki;Įrašo_sukūrimo_data
125873515;1949;2019-03-15;2019-03-15;2019-03-13 03:01:14
125873515;2037;2019-02-27;2019-04-12;2019-03-13 03:01:14
125873515;2295;2019-03-18;2019-03-27;2019-03-13 03:01:14
125873515;2311;2019-03-12;2019-03-15;2019-03-13 03:01:14
125873515;3134;2019-03-15;2019-03-15;2019-03-13 03:01:14
125873515;3240;2019-03-18;2019-03-22;2019-03-13 03:01:14
125873515;3281;2018-08-20;2019-08-21;2019-03-13 03:01:14
125873515;3444;2017-05-15;2019-04-12;2019-03-13 03:01:14
125873515;3470;2017-04-11;2019-04-12;2019-03-13 03:01:14
125873515;3481;2018-10-01;2019-04-12;2019-03-13 03:01:14
125873515;3701;2019-03-15;2019-03-15;2019-03-13 03:01:14
125873515;3784;2019-03-15;2019-03-15;2019-03-13 03:01:14
125873515;3903;2019-03-12;2019-03-15;2019-03-13 03:01:14
