istaigos_kodas;gydytojo_ID;laisvos_registracijos_data;iraso_sukurimo_data
181384061;141233;2019-03-20 08:45;2019-03-20 03:00:10
181384061;141233;2019-03-20 09:00;2019-03-20 03:00:10
181384061;141233;2019-03-20 09:15;2019-03-20 03:00:10
181384061;141233;2019-03-20 09:45;2019-03-20 03:00:10
181384061;141233;2019-03-20 10:00;2019-03-20 03:00:10
181384061;141233;2019-03-20 10:15;2019-03-20 03:00:10
181384061;141233;2019-03-20 10:30;2019-03-20 03:00:10
181384061;141233;2019-03-20 10:45;2019-03-20 03:00:10
181384061;141233;2019-03-20 11:30;2019-03-20 03:00:10
181384061;141233;2019-03-20 11:45;2019-03-20 03:00:10
181384061;141233;2019-03-20 12:00;2019-03-20 03:00:10
181384061;141233;2019-03-21 13:30;2019-03-20 03:00:10
181384061;141233;2019-03-21 13:45;2019-03-20 03:00:10
181384061;141233;2019-03-21 14:00;2019-03-20 03:00:10
181384061;141233;2019-03-21 14:15;2019-03-20 03:00:10
181384061;141233;2019-03-21 14:30;2019-03-20 03:00:10
181384061;141233;2019-03-21 14:45;2019-03-20 03:00:10
181384061;141233;2019-03-21 15:00;2019-03-20 03:00:10
181384061;141233;2019-03-21 15:15;2019-03-20 03:00:10
181384061;141233;2019-03-21 15:30;2019-03-20 03:00:10
181384061;141233;2019-03-21 15:45;2019-03-20 03:00:10
181384061;141233;2019-03-21 16:30;2019-03-20 03:00:10
181384061;141233;2019-03-21 16:45;2019-03-20 03:00:10
181384061;141233;2019-03-22 08:45;2019-03-20 03:00:10
181384061;141233;2019-03-22 09:00;2019-03-20 03:00:10
181384061;141233;2019-03-22 09:15;2019-03-20 03:00:10
181384061;141233;2019-03-22 09:30;2019-03-20 03:00:10
181384061;141233;2019-03-22 09:45;2019-03-20 03:00:10
181384061;141233;2019-03-22 10:00;2019-03-20 03:00:10
181384061;141233;2019-03-22 10:15;2019-03-20 03:00:10
181384061;141233;2019-03-22 10:30;2019-03-20 03:00:10
181384061;141233;2019-03-22 10:45;2019-03-20 03:00:10
181384061;141233;2019-03-22 11:30;2019-03-20 03:00:10
181384061;141233;2019-03-22 11:45;2019-03-20 03:00:10
181384061;141233;2019-03-22 12:00;2019-03-20 03:00:10
