istaigos_kodas;gydytojo_ID;laisvos_registracijos_data;iraso_sukurimo_data
224245280;12;2019-03-15 15:00:00;2019-03-14 17:27:44
224245280;12;2019-03-18 11:30:00;2019-03-14 17:27:44
224245280;12;2019-03-19 12:45:00;2019-03-14 17:27:44
224245280;12;2019-03-20 11:00:00;2019-03-14 17:27:44
224245280;13;2019-03-15 07:30:00;2019-03-14 17:27:44
224245280;13;2019-03-18 15:00:00;2019-03-14 17:27:44
224245280;13;2019-03-18 15:15:00;2019-03-14 17:27:44
224245280;13;2019-03-18 17:30:00;2019-03-14 17:27:44
224245280;13;2019-03-19 11:00:00;2019-03-14 17:27:44
224245280;13;2019-03-19 12:15:00;2019-03-14 17:27:44
224245280;13;2019-03-20 14:00:00;2019-03-14 17:27:44
224245280;13;2019-03-20 16:00:00;2019-03-14 17:27:44
224245280;13;2019-03-20 17:30:00;2019-03-14 17:27:44
224245280;13;2019-03-20 18:45:00;2019-03-14 17:27:44
224245280;14;2019-03-18 14:00:00;2019-03-14 17:27:44
224245280;14;2019-03-18 14:45:00;2019-03-14 17:27:44
224245280;14;2019-03-19 10:30:00;2019-03-14 17:27:44
224245280;14;2019-03-20 14:00:00;2019-03-14 17:27:44
224245280;141;2019-03-15 17:45:00;2019-03-14 17:27:44
224245280;141;2019-03-18 17:45:00;2019-03-14 17:27:44
224245280;141;2019-03-18 18:00:00;2019-03-14 17:27:44
224245280;141;2019-03-18 18:30:00;2019-03-14 17:27:44
224245280;141;2019-03-19 10:15:00;2019-03-14 17:27:44
224245280;141;2019-03-19 10:30:00;2019-03-14 17:27:44
224245280;141;2019-03-19 10:45:00;2019-03-14 17:27:44
224245280;141;2019-03-19 11:00:00;2019-03-14 17:27:44
224245280;141;2019-03-19 11:15:00;2019-03-14 17:27:44
224245280;141;2019-03-19 11:30:00;2019-03-14 17:27:44
224245280;141;2019-03-19 11:45:00;2019-03-14 17:27:44
224245280;141;2019-03-19 12:00:00;2019-03-14 17:27:44
224245280;141;2019-03-20 15:15:00;2019-03-14 17:27:44
224245280;141;2019-03-20 15:30:00;2019-03-14 17:27:44
224245280;141;2019-03-20 15:45:00;2019-03-14 17:27:44
224245280;141;2019-03-20 16:00:00;2019-03-14 17:27:44
224245280;141;2019-03-20 16:15:00;2019-03-14 17:27:44
224245280;141;2019-03-20 16:30:00;2019-03-14 17:27:44
224245280;141;2019-03-20 16:45:00;2019-03-14 17:27:44
224245280;141;2019-03-20 17:00:00;2019-03-14 17:27:44
224245280;141;2019-03-20 17:15:00;2019-03-14 17:27:44
224245280;141;2019-03-20 17:30:00;2019-03-14 17:27:44
224245280;142;2019-03-19 10:45:00;2019-03-14 17:27:44
224245280;142;2019-03-20 12:45:00;2019-03-14 17:27:44
224245280;17;2019-03-15 07:00:00;2019-03-14 17:27:44
224245280;17;2019-03-19 08:30:00;2019-03-14 17:27:44
224245280;17;2019-03-19 10:45:00;2019-03-14 17:27:44
224245280;17;2019-03-20 13:15:00;2019-03-14 17:27:44
224245280;17;2019-03-20 15:45:00;2019-03-14 17:27:44
224245280;19;2019-03-15 13:15:00;2019-03-14 17:27:44
224245280;19;2019-03-15 14:00:00;2019-03-14 17:27:44
224245280;19;2019-03-18 08:30:00;2019-03-14 17:27:44
224245280;19;2019-03-18 09:15:00;2019-03-14 17:27:44
224245280;19;2019-03-18 10:45:00;2019-03-14 17:27:44
224245280;19;2019-03-19 15:00:00;2019-03-14 17:27:44
224245280;19;2019-03-19 15:45:00;2019-03-14 17:27:44
224245280;19;2019-03-20 08:15:00;2019-03-14 17:27:44
224245280;19;2019-03-20 09:30:00;2019-03-14 17:27:44
224245280;19;2019-03-20 10:45:00;2019-03-14 17:27:44
224245280;19;2019-03-20 11:30:00;2019-03-14 17:27:44
224245280;20;2019-03-14 18:30:00;2019-03-14 17:27:44
224245280;20;2019-03-19 18:45:00;2019-03-14 17:27:44
224245280;235;2019-03-15 09:00:00;2019-03-14 17:27:44
224245280;235;2019-03-18 10:00:00;2019-03-14 17:27:44
224245280;235;2019-03-18 10:15:00;2019-03-14 17:27:44
224245280;235;2019-03-18 10:30:00;2019-03-14 17:27:44
224245280;235;2019-03-18 10:45:00;2019-03-14 17:27:44
224245280;235;2019-03-18 11:00:00;2019-03-14 17:27:44
224245280;235;2019-03-18 11:15:00;2019-03-14 17:27:44
224245280;235;2019-03-18 11:30:00;2019-03-14 17:27:44
224245280;235;2019-03-18 11:45:00;2019-03-14 17:27:44
224245280;235;2019-03-18 12:30:00;2019-03-14 17:27:44
224245280;235;2019-03-18 12:45:00;2019-03-14 17:27:44
224245280;235;2019-03-18 13:00:00;2019-03-14 17:27:44
224245280;235;2019-03-18 13:15:00;2019-03-14 17:27:44
224245280;235;2019-03-19 09:15:00;2019-03-14 17:27:44
224245280;235;2019-03-19 09:30:00;2019-03-14 17:27:44
224245280;235;2019-03-19 09:45:00;2019-03-14 17:27:44
224245280;235;2019-03-19 10:15:00;2019-03-14 17:27:44
224245280;235;2019-03-19 10:30:00;2019-03-14 17:27:44
224245280;235;2019-03-19 10:45:00;2019-03-14 17:27:44
224245280;235;2019-03-19 11:00:00;2019-03-14 17:27:44
224245280;235;2019-03-19 11:15:00;2019-03-14 17:27:44
224245280;235;2019-03-19 11:30:00;2019-03-14 17:27:44
224245280;235;2019-03-19 13:00:00;2019-03-14 17:27:44
224245280;235;2019-03-19 13:15:00;2019-03-14 17:27:44
224245280;235;2019-03-20 09:45:00;2019-03-14 17:27:44
224245280;235;2019-03-20 10:00:00;2019-03-14 17:27:44
224245280;235;2019-03-20 10:15:00;2019-03-14 17:27:44
224245280;235;2019-03-20 10:30:00;2019-03-14 17:27:44
224245280;235;2019-03-20 10:45:00;2019-03-14 17:27:44
224245280;235;2019-03-20 11:00:00;2019-03-14 17:27:44
224245280;235;2019-03-20 11:15:00;2019-03-14 17:27:44
224245280;235;2019-03-20 11:30:00;2019-03-14 17:27:44
224245280;235;2019-03-20 11:45:00;2019-03-14 17:27:44
224245280;235;2019-03-20 12:30:00;2019-03-14 17:27:44
224245280;235;2019-03-20 12:45:00;2019-03-14 17:27:44
224245280;235;2019-03-20 13:00:00;2019-03-14 17:27:44
224245280;235;2019-03-20 13:15:00;2019-03-14 17:27:44
224245280;235;2019-03-20 13:30:00;2019-03-14 17:27:44
224245280;235;2019-03-20 13:45:00;2019-03-14 17:27:44
224245280;235;2019-03-20 14:30:00;2019-03-14 17:27:44
224245280;264;2019-03-15 10:45:00;2019-03-14 17:27:44
224245280;264;2019-03-18 09:30:00;2019-03-14 17:27:44
224245280;264;2019-03-18 11:45:00;2019-03-14 17:27:44
224245280;264;2019-03-18 12:00:00;2019-03-14 17:27:44
224245280;264;2019-03-18 12:15:00;2019-03-14 17:27:44
224245280;264;2019-03-19 13:15:00;2019-03-14 17:27:44
224245280;264;2019-03-19 13:30:00;2019-03-14 17:27:44
224245280;264;2019-03-19 13:45:00;2019-03-14 17:27:44
224245280;264;2019-03-19 14:00:00;2019-03-14 17:27:44
224245280;264;2019-03-19 14:15:00;2019-03-14 17:27:44
224245280;264;2019-03-19 14:30:00;2019-03-14 17:27:44
224245280;264;2019-03-19 14:45:00;2019-03-14 17:27:44
224245280;264;2019-03-19 15:00:00;2019-03-14 17:27:44
224245280;264;2019-03-19 15:15:00;2019-03-14 17:27:44
224245280;264;2019-03-19 15:30:00;2019-03-14 17:27:44
224245280;264;2019-03-19 15:45:00;2019-03-14 17:27:44
224245280;264;2019-03-19 16:15:00;2019-03-14 17:27:44
224245280;3;2019-03-15 16:00:00;2019-03-14 17:27:44
224245280;3;2019-03-18 07:15:00;2019-03-14 17:27:44
