istaigos_kodas;gydytojo_ID;data_nuo;data_iki;iraso_sukurimo_data
124243990;15;2019-04-08;2019-04-08;2019-03-29 02:55
124243990;15;2019-04-23;2019-04-26;2019-03-29 02:55
124243990;18;2019-04-26;2019-04-26;2019-03-29 02:55
124243990;24;2019-04-25;2019-04-25;2019-03-29 02:55
124243990;29;2019-03-29;2019-03-29;2019-03-29 02:55
124243990;29;2019-04-23;2019-04-23;2019-03-29 02:55
124243990;41;2019-04-11;2019-04-11;2019-03-29 02:55
124243990;49;2019-04-02;2019-04-02;2019-03-29 02:55
124243990;190;2019-04-19;2019-04-19;2019-03-29 02:55
124243990;204;2019-04-25;2019-04-25;2019-03-29 02:55
124243990;254;2019-03-25;2019-04-02;2019-03-29 02:55
