istaigos_kodas;gydytojo_ID;iraso_sukurimo_data
124243990;15;2019-03-13 10:04
124243990;16;2019-03-13 10:04
124243990;18;2019-03-13 10:04
124243990;20;2019-03-13 10:04
124243990;24;2019-03-13 10:04
124243990;28;2019-03-13 10:04
124243990;29;2019-03-13 10:04
124243990;30;2019-03-13 10:04
124243990;37;2019-03-13 10:04
124243990;38;2019-03-13 10:04
124243990;41;2019-03-13 10:04
124243990;49;2019-03-13 10:04
124243990;52;2019-03-13 10:04
124243990;56;2019-03-13 10:04
124243990;190;2019-03-13 10:04
124243990;204;2019-03-13 10:04
124243990;243;2019-03-13 10:04
124243990;254;2019-03-13 10:04
