istaigos_kodas;gydytojo_ID;laisvos_registracijos data;iraso_sukurimo_data
124243990;15;2019-03-13 12:15;2019-03-13 10:04
124243990;15;2019-03-13 13:00;2019-03-13 10:04
124243990;15;2019-03-13 15:30;2019-03-13 10:04
124243990;15;2019-03-13 19:15;2019-03-13 10:04
124243990;15;2019-03-14 07:15;2019-03-13 10:04
124243990;15;2019-03-14 07:45;2019-03-13 10:04
124243990;15;2019-03-14 08:00;2019-03-13 10:04
124243990;15;2019-03-14 08:30;2019-03-13 10:04
124243990;15;2019-03-14 10:15;2019-03-13 10:04
124243990;15;2019-03-14 11:45;2019-03-13 10:04
124243990;15;2019-03-14 12:30;2019-03-13 10:04
124243990;15;2019-03-14 12:45;2019-03-13 10:04
124243990;15;2019-03-14 13:15;2019-03-13 10:04
124243990;15;2019-03-14 13:30;2019-03-13 10:04
124243990;15;2019-03-14 14:15;2019-03-13 10:04
124243990;15;2019-03-14 14:45;2019-03-13 10:04
124243990;15;2019-03-15 12:45;2019-03-13 10:04
124243990;15;2019-03-15 13:30;2019-03-13 10:04
124243990;15;2019-03-15 13:45;2019-03-13 10:04
124243990;15;2019-03-15 14:15;2019-03-13 10:04
124243990;15;2019-03-15 14:30;2019-03-13 10:04
124243990;15;2019-03-15 16:15;2019-03-13 10:04
124243990;15;2019-03-15 17:00;2019-03-13 10:04
124243990;15;2019-03-15 17:15;2019-03-13 10:04
124243990;15;2019-03-15 17:45;2019-03-13 10:04
124243990;15;2019-03-15 18:30;2019-03-13 10:04
124243990;16;2019-03-13 07:00;2019-03-13 10:04
124243990;16;2019-03-13 07:15;2019-03-13 10:04
124243990;16;2019-03-13 07:45;2019-03-13 10:04
124243990;16;2019-03-13 08:00;2019-03-13 10:04
124243990;16;2019-03-13 08:30;2019-03-13 10:04
124243990;16;2019-03-13 08:45;2019-03-13 10:04
124243990;16;2019-03-13 09:15;2019-03-13 10:04
124243990;16;2019-03-13 09:30;2019-03-13 10:04
124243990;16;2019-03-13 10:00;2019-03-13 10:04
124243990;16;2019-03-13 10:15;2019-03-13 10:04
124243990;16;2019-03-13 10:45;2019-03-13 10:04
124243990;16;2019-03-13 11:30;2019-03-13 10:04
124243990;16;2019-03-13 12:00;2019-03-13 10:04
124243990;16;2019-03-13 12:15;2019-03-13 10:04
124243990;16;2019-03-13 12:45;2019-03-13 10:04
124243990;16;2019-03-13 13:00;2019-03-13 10:04
124243990;16;2019-03-13 13:30;2019-03-13 10:04
124243990;16;2019-03-13 13:45;2019-03-13 10:04
124243990;16;2019-03-13 14:15;2019-03-13 10:04
124243990;16;2019-03-13 14:30;2019-03-13 10:04
124243990;16;2019-03-14 12:00;2019-03-13 10:04
124243990;16;2019-03-14 12:15;2019-03-13 10:04
124243990;16;2019-03-14 12:45;2019-03-13 10:04
124243990;16;2019-03-14 13:00;2019-03-13 10:04
124243990;16;2019-03-14 13:30;2019-03-13 10:04
124243990;16;2019-03-14 13:45;2019-03-13 10:04
124243990;16;2019-03-14 14:15;2019-03-13 10:04
124243990;16;2019-03-14 14:30;2019-03-13 10:04
124243990;16;2019-03-14 15:00;2019-03-13 10:04
124243990;16;2019-03-14 15:15;2019-03-13 10:04
124243990;16;2019-03-14 16:15;2019-03-13 10:04
124243990;16;2019-03-14 16:30;2019-03-13 10:04
124243990;16;2019-03-14 17:00;2019-03-13 10:04
124243990;16;2019-03-14 17:15;2019-03-13 10:04
124243990;16;2019-03-14 18:00;2019-03-13 10:04
124243990;16;2019-03-14 18:30;2019-03-13 10:04
124243990;16;2019-03-14 18:45;2019-03-13 10:04
124243990;16;2019-03-14 19:15;2019-03-13 10:04
124243990;16;2019-03-14 19:30;2019-03-13 10:04
124243990;16;2019-03-15 07:00;2019-03-13 10:04
124243990;16;2019-03-15 07:15;2019-03-13 10:04
124243990;16;2019-03-15 07:45;2019-03-13 10:04
124243990;16;2019-03-15 08:00;2019-03-13 10:04
124243990;16;2019-03-15 08:30;2019-03-13 10:04
124243990;16;2019-03-15 08:45;2019-03-13 10:04
124243990;16;2019-03-15 09:15;2019-03-13 10:04
124243990;16;2019-03-15 09:30;2019-03-13 10:04
124243990;16;2019-03-15 10:00;2019-03-13 10:04
124243990;16;2019-03-15 10:15;2019-03-13 10:04
124243990;16;2019-03-15 10:45;2019-03-13 10:04
124243990;16;2019-03-15 11:30;2019-03-13 10:04
124243990;16;2019-03-15 12:00;2019-03-13 10:04
124243990;16;2019-03-15 12:15;2019-03-13 10:04
124243990;16;2019-03-15 12:45;2019-03-13 10:04
124243990;16;2019-03-15 13:00;2019-03-13 10:04
124243990;16;2019-03-15 13:30;2019-03-13 10:04
124243990;16;2019-03-15 13:45;2019-03-13 10:04
124243990;16;2019-03-15 14:15;2019-03-13 10:04
124243990;16;2019-03-15 14:30;2019-03-13 10:04
124243990;18;2019-03-15 15:00;2019-03-13 10:04
124243990;20;2019-03-13 09:45;2019-03-13 10:04
124243990;20;2019-03-15 09:15;2019-03-13 10:04
124243990;29;2019-03-14 14:30;2019-03-13 10:04
124243990;30;2019-03-14 13:30;2019-03-13 10:04
124243990;30;2019-03-14 13:45;2019-03-13 10:04
124243990;30;2019-03-14 14:30;2019-03-13 10:04
124243990;30;2019-03-15 12:45;2019-03-13 10:04
124243990;30;2019-03-15 13:30;2019-03-13 10:04
124243990;30;2019-03-15 13:45;2019-03-13 10:04
124243990;37;2019-03-13 16:15;2019-03-13 10:04
