Įstaigos_kodas;Gydytojo_ID;Laisvos_registracijos_data;Įrašo_sukūrimo_data
302692454;10000018;2019-03-18 09:00;2019-03-13 10:50:49
302692454;10000018;2019-03-19 09:00;2019-03-13 10:50:49
302692454;10000018;2019-03-20 10:30;2019-03-13 10:50:49
302692454;10000018;2019-03-21 10:30;2019-03-13 10:50:49
302692454;10000018;2019-03-22 09:00;2019-03-13 10:50:49
302692454;10000018;2019-03-25 09:00;2019-03-13 10:50:49
302692454;10000018;2019-03-26 09:00;2019-03-13 10:50:49
302692454;10000018;2019-03-26 09:15;2019-03-13 10:50:49
302692454;10000018;2019-03-26 09:25;2019-03-13 10:50:49
302692454;10000018;2019-03-27 10:30;2019-03-13 10:50:49
302692454;10000018;2019-03-27 10:55;2019-03-13 10:50:49
302692454;10000018;2019-03-28 10:30;2019-03-13 10:50:49
302692454;10000018;2019-03-28 10:55;2019-03-13 10:50:49
302692454;10000018;2019-03-29 09:00;2019-03-13 10:50:49
302692454;10000018;2019-03-29 09:25;2019-03-13 10:50:49
302692454;10000041;2019-03-14 08:35;2019-03-13 10:50:49
302692454;10000041;2019-03-14 09:10;2019-03-13 10:50:49
302692454;10000041;2019-03-14 12:55;2019-03-13 10:50:49
302692454;10000041;2019-03-15 14:05;2019-03-13 10:50:49
302692454;10000041;2019-03-15 14:40;2019-03-13 10:50:49
302692454;10000041;2019-03-15 14:55;2019-03-13 10:50:49
302692454;10000041;2019-03-18 08:35;2019-03-13 10:50:49
302692454;10000041;2019-03-18 09:10;2019-03-13 10:50:49
302692454;10000041;2019-03-18 12:55;2019-03-13 10:50:49
302692454;10000041;2019-03-19 14:05;2019-03-13 10:50:49
302692454;10000041;2019-03-19 14:40;2019-03-13 10:50:49
302692454;10000041;2019-03-19 14:55;2019-03-13 10:50:49
302692454;10000041;2019-03-20 08:35;2019-03-13 10:50:49
302692454;10000041;2019-03-20 09:10;2019-03-13 10:50:49
302692454;10000041;2019-03-20 12:55;2019-03-13 10:50:49
302692454;10000041;2019-03-21 14:05;2019-03-13 10:50:49
302692454;10000041;2019-03-21 14:40;2019-03-13 10:50:49
302692454;10000041;2019-03-21 14:55;2019-03-13 10:50:49
302692454;10000041;2019-03-22 08:35;2019-03-13 10:50:49
302692454;10000041;2019-03-22 09:10;2019-03-13 10:50:49
302692454;10000041;2019-03-22 12:55;2019-03-13 10:50:49
302692454;10000041;2019-03-25 14:05;2019-03-13 10:50:49
302692454;10000041;2019-03-25 14:40;2019-03-13 10:50:49
302692454;10000041;2019-03-25 14:55;2019-03-13 10:50:49
302692454;10000041;2019-03-26 08:35;2019-03-13 10:50:49
302692454;10000041;2019-03-26 09:10;2019-03-13 10:50:49
302692454;10000041;2019-03-26 12:55;2019-03-13 10:50:49
302692454;10000041;2019-03-27 14:55;2019-03-13 10:50:49
302692454;10000041;2019-03-28 08:35;2019-03-13 10:50:49
302692454;10000041;2019-03-28 08:50;2019-03-13 10:50:49
302692454;10000041;2019-03-28 09:00;2019-03-13 10:50:49
302692454;10000041;2019-03-28 09:10;2019-03-13 10:50:49
302692454;10000041;2019-03-28 12:55;2019-03-13 10:50:49
302692454;10000041;2019-03-28 13:10;2019-03-13 10:50:49
302692454;10000041;2019-03-28 13:20;2019-03-13 10:50:49
302692454;10000041;2019-03-29 14:05;2019-03-13 10:50:49
302692454;10000041;2019-03-29 14:40;2019-03-13 10:50:49
302692454;10000041;2019-03-29 14:55;2019-03-13 10:50:49
302692454;10000042;2019-03-14 08:05;2019-03-13 10:50:49
302692454;10000042;2019-03-15 08:05;2019-03-13 10:50:49
302692454;10000042;2019-03-18 08:05;2019-03-13 10:50:49
302692454;10000042;2019-03-19 13:00;2019-03-13 10:50:49
302692454;10000042;2019-03-20 08:05;2019-03-13 10:50:49
302692454;10000042;2019-03-21 08:05;2019-03-13 10:50:49
302692454;10000042;2019-03-25 08:05;2019-03-13 10:50:49
302692454;10000042;2019-03-25 08:30;2019-03-13 10:50:49
302692454;10000042;2019-03-26 13:00;2019-03-13 10:50:49
302692454;10000042;2019-03-27 08:05;2019-03-13 10:50:49
302692454;10000042;2019-03-27 08:20;2019-03-13 10:50:49
302692454;10000042;2019-03-28 08:05;2019-03-13 10:50:49
302692454;10000042;2019-03-29 08:05;2019-03-13 10:50:49
302692454;10000042;2019-03-29 08:30;2019-03-13 10:50:49
302692454;10000043;2019-03-14 14:05;2019-03-13 10:50:49
302692454;10000043;2019-03-14 14:20;2019-03-13 10:50:49
302692454;10000043;2019-03-14 14:30;2019-03-13 10:50:49
302692454;10000043;2019-03-14 14:40;2019-03-13 10:50:49
302692454;10000043;2019-03-14 14:55;2019-03-13 10:50:49
302692454;10000043;2019-03-14 18:40;2019-03-13 10:50:49
302692454;10000043;2019-03-15 08:35;2019-03-13 10:50:49
302692454;10000043;2019-03-15 08:50;2019-03-13 10:50:49
302692454;10000043;2019-03-15 09:00;2019-03-13 10:50:49
302692454;10000043;2019-03-15 09:10;2019-03-13 10:50:49
302692454;10000043;2019-03-15 12:55;2019-03-13 10:50:49
302692454;10000043;2019-03-15 13:10;2019-03-13 10:50:49
302692454;10000043;2019-03-18 14:05;2019-03-13 10:50:49
302692454;10000043;2019-03-18 14:20;2019-03-13 10:50:49
302692454;10000043;2019-03-18 14:30;2019-03-13 10:50:49
302692454;10000043;2019-03-18 14:40;2019-03-13 10:50:49
302692454;10000043;2019-03-18 14:55;2019-03-13 10:50:49
302692454;10000043;2019-03-18 18:40;2019-03-13 10:50:49
302692454;10000043;2019-03-18 18:50;2019-03-13 10:50:49
302692454;10000043;2019-03-19 08:35;2019-03-13 10:50:49
302692454;10000043;2019-03-19 08:50;2019-03-13 10:50:49
302692454;10000043;2019-03-19 09:00;2019-03-13 10:50:49
302692454;10000043;2019-03-19 09:10;2019-03-13 10:50:49
302692454;10000043;2019-03-19 12:55;2019-03-13 10:50:49
302692454;10000043;2019-03-19 13:10;2019-03-13 10:50:49
302692454;10000043;2019-03-19 13:20;2019-03-13 10:50:49
302692454;10000043;2019-03-20 14:55;2019-03-13 10:50:49
302692454;10000043;2019-03-20 18:40;2019-03-13 10:50:49
302692454;10000043;2019-03-20 18:50;2019-03-13 10:50:49
