Įstaigos_kodas;Gydytojo_ID;Data_nuo;Data_iki;Įrašo_sukūrimo_data
300520299;10000000;2019-03-25;2019-03-29;2019-03-13 14:43:38
300520299;10000108;2019-03-29;2019-03-29;2019-03-13 14:43:38
300520299;10000079;2019-03-22;2019-03-22;2019-03-13 14:43:38
300520299;10000079;2019-03-25;2019-04-05;2019-03-13 14:43:38
300520299;10000010;2019-03-25;2019-03-29;2019-03-13 14:43:38
300520299;10000003;2019-03-14;2019-03-14;2019-03-13 14:43:38
300520299;10000004;2019-03-15;2019-03-15;2019-03-13 14:43:38
300520299;10000079;2019-03-20;2019-03-20;2019-03-13 14:43:38
300520299;10000002;2019-03-22;2019-03-22;2019-03-13 14:43:38
300520299;10000007;2019-03-29;2019-03-29;2019-03-13 14:43:38
300520299;10000008;2019-03-28;2019-03-28;2019-03-13 14:43:38
300520299;10000013;2019-03-14;2019-03-14;2019-03-13 14:43:38
300520299;10000000;2019-03-21;2019-03-21;2019-03-13 14:43:38
