istaigos_kodas;gydytojo_ID;laisvos_registracijos_data;iraso_sukurimo_data
124245660;141162;2019.03.13 07:35:00;2019.03.12 03:00:19
124245660;141162;2019.03.13 12:10:00;2019.03.12 03:00:19
124245660;141162;2019.03.14 13:30:00;2019.03.12 03:00:19
124245660;141162;2019.03.14 13:45:00;2019.03.12 03:00:19
124245660;141162;2019.03.14 14:15:00;2019.03.12 03:00:19
124245660;141162;2019.03.14 14:30:00;2019.03.12 03:00:19
124245660;141162;2019.03.14 14:45:00;2019.03.12 03:00:19
124245660;141162;2019.03.14 15:45:00;2019.03.12 03:00:19
124245660;141162;2019.03.14 18:30:00;2019.03.12 03:00:19
124245660;141162;2019.03.14 18:45:00;2019.03.12 03:00:19
124245660;141162;2019.03.14 19:15:00;2019.03.12 03:00:19
124245660;141162;2019.03.15 07:05:00;2019.03.12 03:00:19
124245660;141162;2019.03.15 07:20:00;2019.03.12 03:00:19
124245660;141162;2019.03.15 07:35:00;2019.03.12 03:00:19
124245660;141162;2019.03.15 07:50:00;2019.03.12 03:00:19
124245660;141162;2019.03.15 08:05:00;2019.03.12 03:00:19
124245660;141162;2019.03.15 08:20:00;2019.03.12 03:00:19
124245660;141162;2019.03.15 11:25:00;2019.03.12 03:00:19
124245660;141162;2019.03.15 11:55:00;2019.03.12 03:00:19
124245660;141162;2019.03.15 12:10:00;2019.03.12 03:00:19
124245660;141162;2019.03.15 12:40:00;2019.03.12 03:00:19
124245660;141162;2019.03.18 13:30:00;2019.03.12 03:00:19
124245660;141162;2019.03.18 13:45:00;2019.03.12 03:00:19
124245660;141162;2019.03.18 14:00:00;2019.03.12 03:00:19
124245660;141162;2019.03.18 14:15:00;2019.03.12 03:00:19
124245660;141162;2019.03.18 14:30:00;2019.03.12 03:00:19
124245660;141162;2019.03.18 14:45:00;2019.03.12 03:00:19
124245660;141162;2019.03.18 15:30:00;2019.03.12 03:00:19
124245660;141162;2019.03.18 15:45:00;2019.03.12 03:00:19
124245660;141162;2019.03.18 16:00:00;2019.03.12 03:00:19
124245660;141162;2019.03.18 17:05:00;2019.03.12 03:00:19
124245660;141162;2019.03.18 17:15:00;2019.03.12 03:00:19
124245660;141162;2019.03.18 17:30:00;2019.03.12 03:00:19
124245660;141162;2019.03.18 17:45:00;2019.03.12 03:00:19
124245660;141162;2019.03.18 18:00:00;2019.03.12 03:00:19
124245660;141162;2019.03.18 18:15:00;2019.03.12 03:00:19
124245660;141162;2019.03.18 18:30:00;2019.03.12 03:00:19
124245660;141162;2019.03.18 18:45:00;2019.03.12 03:00:19
124245660;141162;2019.03.18 19:00:00;2019.03.12 03:00:19
124245660;141162;2019.03.18 19:30:00;2019.03.12 03:00:19
124245660;141171;2019.03.15 12:40:00;2019.03.12 03:00:19
124245660;141171;2019.03.18 17:05:00;2019.03.12 03:00:19
124245660;141182;2019.03.15 17:35:00;2019.03.12 03:00:19
124245660;141182;2019.03.15 19:05:00;2019.03.12 03:00:19
124245660;141182;2019.03.15 19:20:00;2019.03.12 03:00:19
124245660;141182;2019.03.18 07:20:00;2019.03.12 03:00:19
124245660;141182;2019.03.18 07:50:00;2019.03.12 03:00:19
124245660;141182;2019.03.18 08:20:00;2019.03.12 03:00:19
124245660;141182;2019.03.18 08:35:00;2019.03.12 03:00:19
124245660;141182;2019.03.18 08:50:00;2019.03.12 03:00:19
124245660;141182;2019.03.18 09:20:00;2019.03.12 03:00:19
124245660;141182;2019.03.18 10:55:00;2019.03.12 03:00:19
124245660;141182;2019.03.18 11:25:00;2019.03.12 03:00:19
124245660;141182;2019.03.18 11:40:00;2019.03.12 03:00:19
124245660;141182;2019.03.18 11:55:00;2019.03.12 03:00:19
124245660;141182;2019.03.18 12:10:00;2019.03.12 03:00:19
124245660;141182;2019.03.18 12:25:00;2019.03.12 03:00:19
124245660;141182;2019.03.18 12:40:00;2019.03.12 03:00:19
124245660;141186;2019.03.14 18:50:00;2019.03.12 03:00:19
124245660;141186;2019.03.14 19:05:00;2019.03.12 03:00:19
124245660;141186;2019.03.14 19:20:00;2019.03.12 03:00:19
124245660;141186;2019.03.15 07:50:00;2019.03.12 03:00:19
124245660;141186;2019.03.15 10:00:00;2019.03.12 03:00:19
124245660;141186;2019.03.15 11:45:00;2019.03.12 03:00:19
124245660;141186;2019.03.15 12:30:00;2019.03.12 03:00:19
124245660;141186;2019.03.15 12:45:00;2019.03.12 03:00:19
124245660;141186;2019.03.18 14:00:00;2019.03.12 03:00:19
124245660;141186;2019.03.18 14:15:00;2019.03.12 03:00:19
124245660;141186;2019.03.18 14:30:00;2019.03.12 03:00:19
124245660;141186;2019.03.18 14:45:00;2019.03.12 03:00:19
124245660;141186;2019.03.18 15:00:00;2019.03.12 03:00:19
124245660;141186;2019.03.18 15:15:00;2019.03.12 03:00:19
124245660;141186;2019.03.18 17:50:00;2019.03.12 03:00:19
124245660;141186;2019.03.18 18:05:00;2019.03.12 03:00:19
124245660;141186;2019.03.18 18:20:00;2019.03.12 03:00:19
124245660;141186;2019.03.18 18:35:00;2019.03.12 03:00:19
124245660;141186;2019.03.18 18:50:00;2019.03.12 03:00:19
124245660;141186;2019.03.18 19:05:00;2019.03.12 03:00:19
124245660;141186;2019.03.18 19:20:00;2019.03.12 03:00:19
124245660;141192;2019.03.12 07:20:00;2019.03.12 03:00:19
124245660;141192;2019.03.12 09:15:00;2019.03.12 03:00:19
124245660;141192;2019.03.12 09:30:00;2019.03.12 03:00:19
124245660;141192;2019.03.13 14:15:00;2019.03.12 03:00:19
124245660;141192;2019.03.14 08:45:00;2019.03.12 03:00:19
124245660;141192;2019.03.14 09:00:00;2019.03.12 03:00:19
124245660;141192;2019.03.14 09:15:00;2019.03.12 03:00:19
